,Opening Time,Valve Coef (dimensionless)
,MIN,n/a
BALL_NPS30_PS_CAN_15MIN_FLANGED_OPEN,13.727,3200
BALL_NPS30_PS_CAN_15MIN_FLANGED_OPEN,13.843,4400
BALL_NPS30_PS_CAN_15MIN_FLANGED_OPEN,13.958,5800
BALL_NPS30_PS_CAN_15MIN_FLANGED_OPEN,14.074,7700
BALL_NPS30_PS_CAN_15MIN_FLANGED_OPEN,14.19,9600
BALL_NPS30_PS_CAN_15MIN_FLANGED_OPEN,14.306,13000
BALL_NPS30_PS_CAN_15MIN_FLANGED_OPEN,14.421,16000
BALL_NPS30_PS_CAN_15MIN_FLANGED_OPEN,14.537,22000
BALL_NPS30_PS_CAN_15MIN_FLANGED_OPEN,14.653,30000
BALL_NPS30_PS_CAN_15MIN_FLANGED_OPEN,15,160100
BALL_NPS30_PS_CAN_15MIN_OPEN,0,0
BALL_NPS30_PS_CAN_15MIN_OPEN,11.111,500
BALL_NPS30_PS_CAN_15MIN_OPEN,13.333,800
BALL_NPS30_PS_CAN_15MIN_OPEN,13.38,1000
